property_type,society,sector,price_in_lacs,price_per_sqft_inrs,area,areaWithType,super_builtup,builtup,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,breez global heights,sohna road,40.0,6420.0,623.05,Super Built up area 623(57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),623.0,,599.0,2,2,1,4.0,North-East,New Property,2.0,0,0,0,0,0,97.0
flat,trisara our homes 3,sohna road,34.0,5405.0,629.05,Carpet area: 629 (58.44 sq.m.),,,629.0,2,2,1,0.0,,New Property,0.0,0,0,0,0,0,0.0
flat,m3m soulitude,sector 89 ,125.0,8784.0,1423.04,Super Built up area 1423(132.2 sq.m.),1423.0,,,3,3,3,3.0,East,New Property,0.0,0,1,0,0,1,0.0
flat,emaar mgf palm hills,sector 77 ,150.0,12744.0,1177.02,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),1450.0,,1177.0,3,3,3,4.0,North-East,Relatively New,0.0,0,0,0,0,0,71.0
flat,ramprastha city,dwarka expressway ,130.0,9285.0,1400.11,Super Built up area 1400(130.06 sq.m.),1400.0,,,3,3,2,3.0,,Under Construction,0.0,0,0,0,0,0,60.0
flat,pareena coban residences,sector 99a ,160.0,8000.0,2000.0,Super Built up area 2000(185.81 sq.m.),2000.0,,,3,3,3,6.0,,Under Construction,0.0,0,0,0,0,0,0.0
flat,la vida by tata housing,sector 113 ,150.0,11755.0,1276.05,Carpet area: 1276 (118.54 sq.m.),,,1276.0,2,2,2,13.0,,New Property,0.0,0,0,0,0,0,65.0
flat,la vida by tata housing,sector 113 ,150.0,11755.0,1276.05,Super Built up area 1276(118.54 sq.m.),1276.0,,,2,2,2,13.0,,New Property,0.0,0,0,0,0,0,0.0
flat,godrej summit premia towers,sector 104 ,90.0,7149.0,1258.92,Built Up area: 1259 (116.96 sq.m.),,1259.0,,2,2,0,16.0,,Undefined,0.0,0,0,0,0,0,45.0
flat,ardee city,sector 52 ,150.0,9146.0,1640.06,Super Built up area 1640(152.36 sq.m.),1640.0,,,4,4,3,3.0,,Old Property,0.0,0,0,0,0,0,37.0
flat,m3m one key resiments,sector 67 ,80.0,13115.0,609.99,Built Up area: 610 (56.67 sq.m.),,610.0,,1,1,0,0.0,,Undefined,0.0,0,0,0,0,0,54.0
flat,ansal heights 86,sector 86 ,125.0,7396.0,1690.1,Super Built up area 1690(157.01 sq.m.),1690.0,,,3,2,1,11.0,,New Property,0.0,0,0,0,0,0,0.0
flat,mvn athens,sohna road,26.0,5397.0,481.75,Carpet area: 481.74 (44.76 sq.m.),,,481.0,2,2,1,2.0,,Relatively New,0.0,0,0,0,0,0,65.0
flat,signature the serenas,sohna road,42.0,7909.0,531.04,Carpet area: 531 (49.33 sq.m.),,,531.0,2,2,1,12.0,,New Property,2.0,0,0,0,0,0,42.0
flat,sushant lok 1 builder floors,sector 43,250.0,12920.0,1934.98,Super Built up area 215(179.77 sq.m.),215.0,,,3,3,2,2.0,,New Property,0.0,0,0,0,0,0,55.0
flat,umang monsoon breeze,sector 78 ,90.0,4615.0,1950.16,Super Built up area 1950(181.16 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1854 sq.ft. (172.24 sq.m.),1950.0,1900.0,1854.0,3,3,2,1.0,,Moderately Old,0.0,1,0,1,0,0,53.0
flat,gls avenue 51,sector 92 ,42.0,7106.0,591.05,Carpet area: 591 (54.91 sq.m.),,,591.0,2,2,1,4.0,East,Relatively New,0.0,0,1,1,0,0,35.0
flat,signature global solera,sector 107 ,50.0,7692.0,650.03,Super Built up area 546(50.73 sq.m.),546.0,,,2,2,1,11.0,,Relatively New,0.0,0,0,0,0,0,24.0
flat,supertech araville,sector 79 ,90.0,5883.0,1529.83,Super Built up area 1530(142.14 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1530.0,1450.0,1400.0,2,2,3,5.0,,Relatively New,0.0,0,1,0,0,0,49.0
