property_type,society,sector,price_in_lacs,price_per_sqft_inrs,builtup,bedRoom,bathroom,balcony,floorNum,agePossession,furnish_type,servant_room,study room,pooja room,store_room,others,luxury_score
flat,pareena coban residences,sector 99a ,160.0,8000.0,1810.0,3,3,3,6.0,Under Construction,0.0,0,0,0,0,0,0.0
flat,la vida by tata housing,sector 113 ,150.0,11755.0,1418.0,2,2,2,13.0,New Property,0.0,0,0,0,0,0,65.0
flat,la vida by tata housing,sector 113 ,150.0,11755.0,1155.0,2,2,2,13.0,New Property,0.0,0,0,0,0,0,0.0
flat,godrej summit premia towers,sector 104 ,90.0,7149.0,1259.0,2,2,0,16.0,Relatively New,0.0,0,0,0,0,0,45.0
flat,ardee city,sector 52 ,150.0,9146.0,1484.0,4,4,3,3.0,Old Property,0.0,0,0,0,0,0,37.0
flat,m3m one key resiments,sector 67 ,80.0,13115.0,610.0,1,1,0,0.0,Relatively New,0.0,0,0,0,0,0,54.0
flat,ansal heights 86,sector 86 ,125.0,7396.0,1530.0,3,2,1,11.0,New Property,0.0,0,0,0,0,0,0.0
flat,mvn athens,sohna road,26.0,5397.0,534.0,2,2,1,2.0,Relatively New,0.0,0,0,0,0,0,65.0
flat,signature the serenas,sohna road,42.0,7909.0,590.0,2,2,1,12.0,New Property,2.0,0,0,0,0,0,42.0
flat,sushant lok 1 builder floors,sector 43,250.0,12920.0,195.0,3,3,2,2.0,New Property,0.0,0,0,0,0,0,55.0
flat,umang monsoon breeze,sector 78 ,90.0,4615.0,1900.0,3,3,2,1.0,Moderately Old,0.0,1,0,1,0,0,53.0
flat,gls avenue 51,sector 92 ,42.0,7106.0,657.0,2,2,1,4.0,Relatively New,0.0,0,1,1,0,0,35.0
flat,signature global solera,sector 107 ,50.0,7692.0,494.0,2,2,1,11.0,Relatively New,0.0,0,0,0,0,0,24.0
flat,supertech araville,sector 79 ,90.0,5883.0,1450.0,2,2,3,5.0,Relatively New,0.0,0,1,0,0,0,49.0
flat,greenopolis,sector 89 ,130.0,6806.0,2122.0,3,3,3+,1.0,New Property,2.0,1,0,0,0,0,79.0
flat,central park flower valley aqua front towers,sector 33,170.0,9502.0,1619.0,3,3,3,12.0,Under Construction,2.0,0,0,0,0,0,28.0
flat,sare homes,sector 92 ,125.0,6200.0,2040.0,4,3,0,16.0,Under Construction,0.0,0,0,0,0,0,131.0
flat,vatika sovereign next sector-82 a gurgaon,sector 82a ,291.0,6700.0,3902.0,4,4,3,6.0,Under Construction,0.0,1,1,0,1,0,44.0
flat,bhagwati sadan,sector 12 ,115.0,5750.0,2000.0,3,4,2,2.0,Old Property,0.0,1,1,0,0,1,49.0
flat,smart world gems,sector 89 ,120.0,12526.0,1064.0,3,3,3,3.0,Under Construction,0.0,0,0,1,1,0,30.0
flat,micasa sec 68,sohna road road,150.0,12244.0,1361.0,2,2,3,11.0,New Property,2.0,0,0,0,0,0,69.0
flat,eldeco accolade,sohna road,130.0,7424.0,1509.0,3,3,3+,10.0,Relatively New,0.0,0,0,0,0,0,48.0
flat,hero homes,sector 104 ,175.0,10361.0,1529.0,3,3,3,2.0,Under Construction,0.0,0,0,0,0,0,0.0
flat,shyam sadan,sector 3 phase 2,55.0,6470.0,778.0,2,2,1,4.0,Relatively New,0.0,0,1,0,0,0,0.0
flat,m3m heights,sector 65 ,250.0,13600.0,1654.0,3,3,3,19.0,Under Construction,0.0,0,0,0,0,0,53.0
flat,supertech hilltown,sector 2 ,80.0,5556.0,1440.0,3,2,3,8.0,Moderately Old,0.0,0,0,0,0,0,0.0
flat,raheja vedaanta,sector 108 ,70.0,4666.0,1468.0,2,2,1,10.0,Moderately Old,0.0,0,0,0,0,0,91.0
flat,bptp terra,sector 37d ,195.0,14444.0,1650.0,4,3,3,7.0,Under Construction,0.0,0,0,0,0,0,144.0
flat,green court,sector 90 ,45.0,7188.0,695.0,2,2,1,2.0,New Property,0.0,0,0,0,0,0,16.0
flat,m3m golf hills phase 1,sector 79 ,170.0,10828.0,1570.0,3,2,3,10.0,Relatively New,1.0,0,0,0,0,0,120.0
flat,pyramid urban homes 2,sector 86 ,50.0,9615.0,578.0,2,2,1,10.0,Relatively New,2.0,0,0,0,0,0,96.0
flat,m3m heights,sector 65 ,280.0,15000.0,1866.67,3,3,3,20.0,Under Construction,0.0,0,0,0,0,0,0.0
flat,godrej nature plus,sector 33,145.0,15664.0,96.0,3,2,3+,20.0,Under Construction,0.0,0,1,0,0,0,0.0
flat,smart world orchard,sector 61 ,220.00000000000003,13496.0,1811.0,3,3,2,3.0,Under Construction,0.0,0,0,0,0,0,44.0
flat,ashiana anmol,sohna road,90.0,9463.0,1105.0,2,2,2,13.0,Relatively New,2.0,0,0,0,0,0,72.0
flat,signature signum 95a,sector 95 ,40.0,7782.0,571.0,2,2,2,3.0,New Property,0.0,0,0,0,0,0,43.0
flat,umang winter hills,sector 77 ,135.0,7780.0,1451.0,3,3,3+,7.0,New Property,0.0,0,0,0,1,0,0.0
flat,aardhya homesh,sector 67a ,185.0,8043.0,2555.0,4,4,0,4.0,New Property,0.0,0,0,0,0,0,66.0
flat,rof ananda,sector 95 ,25.0,6578.0,344.0,1,1,1,4.0,New Property,0.0,0,0,0,0,0,39.0
flat,smart world gems,sector 89 ,88.0,7963.0,1228.0,2,2,3,2.0,New Property,0.0,0,1,0,0,0,72.0
flat,assotech blith,sector 99 ,115.0,6593.0,1235.0,2,2,2,2.0,New Property,0.0,0,0,0,0,1,65.0
flat,raheja vanya,sector 99a ,85.0,6789.0,1133.0,2,2,2,3.0,New Property,0.0,0,0,0,0,0,51.0
flat,vatika inxt floors,sector 82a ,75.0,7500.0,1000.0,2,2,2,1.0,Relatively New,2.0,0,0,0,0,0,49.0
flat,palam vihar society,sector 2,335.0,7444.0,4999.0,4,4,3+,2.0,New Property,0.0,0,1,0,0,0,0.0
flat,godrej oasis,sector 88a ,150.0,8108.0,1674.0,3,3,3+,11.0,New Property,0.0,0,0,0,0,0,53.0
flat,dlf new town heights,sector 91 ,165.0,6345.0,2140.0,4,4,3+,11.0,Moderately Old,0.0,1,0,0,0,0,49.0
flat,dlf new town heights,sector 91 ,200.0,6967.0,2468.0,4,4,3+,16.0,Moderately Old,0.0,1,1,1,0,0,81.0
flat,supertech hues,sector 68 ,90.0,7627.0,1311.0,2,2,2,1.0,New Property,0.0,0,0,0,0,0,45.0
flat,krrish florence estate,sector 70 ,125.0,6703.0,1688.0,3,3,3,18.0,Under Construction,0.0,0,0,0,0,0,49.0
flat,piedmont taksila heights,sector 37c ,100.0,6506.0,1708.0,3,3,3+,8.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,experion heartsong,dwarka expressway ,108.0,6150.0,1758.0,3,3,0,2.0,Under Construction,0.0,0,0,0,0,0,38.0
flat,ss the leaf,sector 85 ,215.0,8928.0,2179.0,3,5,3,2.0,New Property,0.0,0,0,0,0,0,51.0
flat,m3m urbana,sector 67 ,100.0,12106.0,826.0,1,1,1,17.0,Relatively New,0.0,0,0,0,0,0,66.0
flat,aipl zen residences,sector 70a ,165.0,13074.0,1142.0,2,2,3,23.0,New Property,0.0,0,0,0,0,0,49.0
flat,dlf regal gardens,sector 90 ,179.0,8081.0,2461.0,4,3,3+,10.0,Moderately Old,0.0,0,0,0,0,0,23.0
flat,godrej air,sector 85 ,180.0,13136.0,141.0,3,3,3,30.0,Under Construction,2.0,0,0,0,0,0,22.0
flat,suncity vatsal valley,gwal pahari,145.0,10139.0,1430.0,3,3,3,4.0,Under Construction,0.0,0,0,0,0,0,0.0
flat,project krishna colony,sector 7 ,36.0,5142.0,700.0,2,2,1,0.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,mvn athens,sohna road,25.0,4258.0,587.0,2,2,1,0.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,m3m antalya hills,sector 79 ,115.0,7496.0,1200.0,3,3,3+,1.0,Under Construction,0.0,0,1,0,0,0,0.0
flat,central park flower valley,sohna road road,165.0,17441.0,1051.0,3,3,0,1.0,New Property,0.0,0,0,0,0,0,51.0
flat,m3m capital,sector 113 ,290.0,12619.0,2553.0,4,4,3+,11.0,Under Construction,0.0,1,1,0,0,0,47.0
flat,ansal heights,sector 92 ,60.0,4546.0,1195.0,2,2,3,11.0,Under Construction,2.0,0,0,0,0,1,120.0
flat,malibu towne,sector 47,240.0,10000.0,2666.0,3,3,0,0.0,Moderately Old,0.0,0,0,0,0,0,52.0
flat,aipl zen residences,sector 70a ,125.0,9904.0,1402.0,2,2,3,19.0,Relatively New,0.0,0,0,0,0,0,0.0
flat,m3m heights,sector 65 ,215.0,15003.0,1433.0,2,2,3+,28.0,Relatively New,0.0,0,0,0,0,0,59.0
flat,hcbs sports ville,sohna road,29.5,3970.0,743.0,2,2,1,4.0,Relatively New,0.0,0,0,0,0,0,38.0
flat,hcbs sports ville,sohna road,38.0,5067.0,750.0,2,2,2,9.0,Relatively New,0.0,0,0,0,0,0,60.0
flat,housing apna enclave,sector 4 ,39.0,4105.0,950.0,2,2,1,1.0,New Property,0.0,0,0,0,0,0,45.0
flat,assotech blith,sector 99 ,160.0,6667.0,2400.0,3,4,0,15.0,New Property,0.0,0,0,0,0,0,96.0
flat,pareena mi casa,sector 68 ,170.0,8504.0,1809.0,4,4,3,2.0,New Property,0.0,0,0,0,0,0,46.0
flat,suncity heights,sector 54 ,325.0,14118.0,2557.0,3,3,3+,0.0,Old Property,1.0,0,0,1,0,0,37.0
flat,lotus homz,sector 111 ,60.0,8450.0,789.0,2,2,3,9.0,New Property,1.0,0,0,0,0,0,83.0
flat,ramson kshitij sec-95 gurugram,sector 95 ,27.0,2700.0,758.0,2,2,0,1.0,New Property,2.0,0,0,0,0,0,56.0
flat,maruti vihar colony,sector 28,95.0,8886.0,1188.0,2,1,1,1.0,Old Property,0.0,0,0,0,0,0,60.0
